name,rank,count
BECK,295,93161
ORTEGA,296,93131
WADE,297,92834
ESTRADA,298,92831
CONTRERAS,299,92660
BARNETT,300,92287
CALDWELL,301,91338
SANTIAGO,302,90967
LAMBERT,303,90618
POWERS,304,90401
CHAMBERS,305,90325
NUNEZ,306,90208
CRAIG,307,89591
LEONARD,308,89198
LOWE,309,89178
RHODES,310,88917
BYRD,311,88811
GREGORY,312,88810
SHELTON,313,88326
FRAZIER,314,88325
BECKER,315,88114
MALDONADO,316,88016
FLEMING,317,87949
VEGA,318,87728
SUTTON,319,87373
COHEN,320,87226
JENNINGS,321,87038
PARKS,322,86346
MCDANIEL,323,86317
WATTS,324,86228
BARKER,325,85221
NORRIS,326,85212
VAUGHN,327,85037
VAZQUEZ,328,84926
HOLT,329,84710
SCHWARTZ,330,84699
STEELE,331,84353
BENSON,332,84233
NEAL,333,83849
DOMINGUEZ,334,83731
HORTON,335,83523
TERRY,336,83437
WOLFE,337,83112
HALE,338,82955
LYONS,339,82258
GRAVES,340,82179
HAYNES,341,82037
MILES,342,81933
PARK,343,81890
WARNER,344,81824
PADILLA,345,81805
BUSH,346,81524
THORNTON,347,81191
MCCARTHY,348,81035
MANN,349,81022
ZIMMERMAN,350,80944
ERICKSON,351,80936
FLETCHER,352,80932
MCKINNEY,353,80616
PAGE,354,80493
DAWSON,355,80190
JOSEPH,356,80030
MARQUEZ,357,79951
REEVES,358,79817
KLEIN,359,79685
ESPINOZA,360,79322
BALDWIN,361,79151
MORAN,362,78546
LOVE,363,78323
ROBBINS,364,78141
HIGGINS,365,78107
BALL,366,77561
CORTEZ,367,77492
LE,368,77453
GRIFFITH,369,77429
BOWEN,370,77078
SHARP,371,76868
CUMMINGS,372,76707
RAMSEY,373,76625
HARDY,374,76608
SWANSON,375,76539
BARBER,376,76504
ACOSTA,377,76477
LUNA,378,76127
CHANDLER,379,76114
BLAIR,380,75135
DANIEL,380,75135
CROSS,382,75134
SIMON,383,74839
DENNIS,384,74784
OCONNOR,385,74756
QUINN,386,74531
GROSS,387,74285
NAVARRO,388,73970
MOSS,389,73750
FITZGERALD,390,73522
DOYLE,391,73518
MCLAUGHLIN,392,73128
ROJAS,393,73071
RODGERS,394,73021
STEVENSON,395,72892
SINGH,396,72642
YANG,397,72627
FIGUEROA,398,72533
HARMON,399,72414
NEWTON,400,72328
PAUL,401,72248
MANNING,402,72069
GARNER,403,72052
MCGEE,404,71925
REESE,405,71754
FRANCIS,406,71723
BURGESS,407,71604
ADKINS,408,71528
GOODMAN,409,71482
CURRY,410,71344
BRADY,411,71175
CHRISTENSEN,412,71144
POTTER,413,71103
WALTON,414,70997
GOODWIN,415,70333
MULLINS,416,70286
MOLINA,417,70211
WEBSTER,418,70123
FISCHER,419,70095
CAMPOS,420,69950
AVILA,421,69843
SHERMAN,422,69840
TODD,423,69810
CHANG,424,69756
BLAKE,425,69279
MALONE,426,69257
WOLF,427,68905
HODGES,428,68868
JUAREZ,429,68785
GILL,430,68699
FARMER,431,68309
HINES,432,68145
GALLAGHER,433,68075
DURAN,434,68046
HUBBARD,435,68021
CANNON,436,67923
MIRANDA,437,67646
WANG,438,67570
SAUNDERS,439,67210
TATE,440,67208
MACK,441,67154
HAMMOND,442,67063
CARRILLO,443,67054
TOWNSEND,444,66853
WISE,445,66738
INGRAM,446,66665
BARTON,447,66622
MEJIA,448,66534
AYALA,449,66515
SCHROEDER,450,66412
HAMPTON,451,66378
ROWE,452,66205
PARSONS,453,66203
FRANK,454,65918
WATERS,455,65817
STRICKLAND,456,65814
OSBORNE,457,65802
MAXWELL,458,65779
CHAN,459,65719
DELEON,460,65598
NORMAN,461,65269
HARRINGTON,462,65131
CASEY,463,64815
PATTON,464,64772
LOGAN,465,64576
BOWERS,466,64496
MUELLER,467,64305
GLOVER,468,64180
FLOYD,469,64141
HARTMAN,470,63827
BUCHANAN,471,63825
COBB,472,63739
FRENCH,473,63149
KRAMER,474,63023
MCCORMICK,475,62663
CLARKE,476,62546
TYLER,477,62534
GIBBS,478,62514
MOODY,479,62344
CONNER,480,62335
SPARKS,481,62234
MCGUIRE,482,62116
LEON,483,62034
BAUER,484,61979
NORTON,485,61805
POPE,486,61750
FLYNN,487,61747
HOGAN,488,61651
ROBLES,489,61619
SALINAS,490,61582
YATES,491,61400
LINDSEY,492,61199
LLOYD,493,61154
MARSH,494,60999
MCBRIDE,495,60874
OWEN,496,60461
SOLIS,497,60045
PHAM,498,59949
LANG,499,59843
PRATT,500,59801
LARA,501,59731
BROCK,502,59682
BALLARD,503,59660
TRUJILLO,504,59609
SHAFFER,505,59227
DRAKE,506,59055
ROMAN,507,59020
AGUIRRE,508,58918
MORTON,509,58788
STOKES,510,58687
LAMB,511,58555
PACHECO,512,58534
PATRICK,513,58257
COCHRAN,514,58233
SHEPHERD,515,57935
CAIN,516,57873
BURNETT,517,57859
HESS,518,57822
LI,519,57786
CERVANTES,520,57685
OLSEN,521,57357
BRIGGS,522,57297
OCHOA,523,57210
CABRERA,524,57171
VELASQUEZ,525,57163
MONTOYA,526,57075
ROTH,527,57030
MEYERS,528,56744
CARDENAS,529,56618
FUENTES,530,56441
WEISS,531,56153
HOOVER,532,56068
WILKINS,532,56068
NICHOLSON,534,55986
UNDERWOOD,535,55973
SHORT,536,55903
CARSON,537,55821
MORROW,538,55664
COLON,539,55512
HOLLOWAY,540,55466
SUMMERS,541,55391
BRYAN,542,55269
PETERSEN,543,55185
MCKENZIE,544,55084
SERRANO,545,55057
WILCOX,546,54987
CAREY,547,54924
CLAYTON,548,54875
POOLE,549,54706
CALDERON,550,54691
GALLEGOS,551,54672
GREER,552,54611
RIVAS,553,54588
GUERRA,554,54575
DECKER,555,54450
COLLIER,556,54414
WALL,557,54401
WHITAKER,558,54343
BASS,559,54296
FLOWERS,560,54277
DAVENPORT,561,54206
CONLEY,562,54194
HOUSTON,563,54026
HUFF,564,53892
COPELAND,565,53771
HOOD,566,53737
MONROE,567,53475
MASSEY,568,53459
ROBERSON,569,53198
COMBS,570,53180
FRANCO,571,53161
LARSEN,572,52963
PITTMAN,573,52689
RANDALL,574,52495
SKINNER,575,52490
WILKINSON,576,52483
KIRBY,577,52473
CAMERON,578,52439
BRIDGES,579,52260
ANTHONY,580,52146
RICHARD,581,52138
KIRK,582,52056
BRUCE,583,52004
SINGLETON,584,51797
MATHIS,585,51796
BRADFORD,586,51726
BOONE,587,51679
ABBOTT,588,51620
CHARLES,589,51518
ALLISON,590,51504
SWEENEY,591,51500
ATKINSON,592,51489
HORN,593,51380
JEFFERSON,594,51361
ROSALES,595,51336
YORK,596,51334
CHRISTIAN,597,51177
PHELPS,598,51154
FARRELL,599,51095
CASTANEDA,600,51089
NASH,601,51021
DICKERSON,602,51017
BOND,603,50980
WYATT,604,50874
FOLEY,605,50852
CHASE,606,50777
GATES,607,50748
VINCENT,608,50628
MATHEWS,609,50608
HODGE,610,50577
GARRISON,611,50482
TREVINO,612,50454
VILLARREAL,613,50351
HEATH,614,50307
DALTON,615,50166
VALENCIA,616,50026
CALLAHAN,617,49925
HENSLEY,618,49858
ATKINS,619,49754
HUFFMAN,620,49737
ROY,621,49725
BOYER,622,49601
SHIELDS,623,49556
LIN,624,49360
HANCOCK,625,49330
GRIMES,626,49245
GLENN,627,49241
CLINE,628,49167
DELACRUZ,629,49158
CAMACHO,630,49000
DILLON,631,48833
PARRISH,632,48823
ONEILL,633,48656
MELTON,634,48594
BOOTH,635,48580
KANE,636,48527
BERG,637,48480
HARRELL,638,48471
PITTS,639,48462
SAVAGE,640,48367
WIGGINS,641,48355
BRENNAN,642,48296
SALAS,643,48282
MARKS,644,48281
RUSSO,645,48126
SAWYER,646,47979
BAXTER,647,47857
GOLDEN,648,47839
HUTCHINSON,649,47809
LIU,650,47665
WALTER,651,47615
MCDOWELL,652,47526
WILEY,653,47503
RICH,654,47477
HUMPHREY,655,47470
JOHNS,656,47289
KOCH,657,47286
SUAREZ,658,47235
HOBBS,659,47220
BEARD,660,47128
GILMORE,661,47050
IBARRA,662,46895
KEITH,663,46747
MACIAS,664,46739
KHAN,665,46713
ANDRADE,666,46702
WARE,667,46682
STEPHENSON,668,46662
HENSON,669,46609
WILKERSON,670,46605
DYER,671,46574
MCCLURE,672,46505
BLACKWELL,673,46495
MERCADO,674,46437
TANNER,675,46412
EATON,676,46403
CLAY,677,46264
BARRON,678,46196
BEASLEY,679,46179
ONEAL,680,46161
PRESTON,681,45850
SMALL,681,45850
WU,683,45815
ZAMORA,684,45806
MACDONALD,685,45782
VANCE,686,45763
SNOW,687,45689
MCCLAIN,688,45560
STAFFORD,689,45349
OROZCO,690,45289
BARRY,691,45044
ENGLISH,692,45032
SHANNON,693,44902
KLINE,694,44900
JACOBSON,695,44874
WOODARD,696,44830
HUANG,697,44715
KEMP,698,44701
MOSLEY,699,44698
PRINCE,700,44640
MERRITT,701,44626
HURST,702,44587
VILLANUEVA,703,44570
ROACH,704,44454
NOLAN,705,44421
LAM,706,44385
YODER,707,44245
MCCULLOUGH,708,44123
LESTER,709,43919
SANTANA,710,43875
VALENZUELA,711,43770
WINTERS,712,43762
BARRERA,713,43720
LEACH,714,43666
ORR,714,43666
BERGER,716,43556
MCKEE,717,43555
STRONG,718,43430
CONWAY,719,43395
STEIN,720,43331
WHITEHEAD,721,43310
BULLOCK,722,43021
ESCOBAR,723,42955
KNOX,724,42937
MEADOWS,725,42884
SOLOMON,726,42839
VELEZ,727,42820
ODONNELL,728,42802
KERR,729,42758
STOUT,730,42669
BLANKENSHIP,731,42663
BROWNING,732,42642
KENT,733,42597
LOZANO,734,42567
BARTLETT,735,42512
PRUITT,736,42463
BUCK,737,42441
BARR,738,42432
GAINES,739,42369
DURHAM,740,42365
GENTRY,741,42357
MCINTYRE,742,42335
SLOAN,743,42281
ROCHA,744,42139
MELENDEZ,744,42139
HERMAN,746,42091
SEXTON,747,42080
MOON,748,42062
HENDRICKS,749,41879
RANGEL,750,41868
STARK,751,41863
LOWERY,752,41670
HARDIN,753,41664
HULL,754,41656
SELLERS,755,41561
ELLISON,756,41459
CALHOUN,757,41452
GILLESPIE,758,41393
MORA,759,41348
KNAPP,760,41267
MCCALL,761,41231
MORSE,762,41112
DORSEY,763,41104
WEEKS,764,41053
NIELSEN,765,41007
LIVINGSTON,766,40964
LEBLANC,767,40923
MCLEAN,768,40871
BRADSHAW,769,40794
GLASS,770,40724
MIDDLETON,771,40708
BUCKLEY,772,40706
SCHAEFER,773,40663
FROST,774,40582
HOWE,775,40555
HOUSE,776,40477
MCINTOSH,777,40453
HO,778,40413
PENNINGTON,779,40339
REILLY,780,40310
HEBERT,781,40283
MCFARLAND,782,40244
HICKMAN,783,40224
NOBLE,784,40217
SPEARS,785,40203
CONRAD,786,40102
ARIAS,787,40086
GALVAN,788,40046
VELAZQUEZ,789,40030
HUYNH,790,40011
FREDERICK,791,39909
RANDOLPH,792,39742
CANTU,793,39601
FITZPATRICK,794,39501
MAHONEY,795,39440
PECK,796,39432
VILLA,797,39402
MICHAEL,798,39369
DONOVAN,799,39270
MCCONNELL,800,39203
WALLS,801,39166
BOYLE,802,39141
MAYER,803,39111
ZUNIGA,804,39057
GILES,805,39002
PINEDA,806,38999
PACE,807,38975
HURLEY,808,38971
MAYS,809,38914
MCMILLAN,810,38896
CROSBY,811,38844
AYERS,812,38836
CASE,813,38759
BENTLEY,814,38714
SHEPARD,815,38705
EVERETT,816,38702
PUGH,817,38691
DAVID,818,38659
MCMAHON,819,38557
DUNLAP,820,38516
BENDER,821,38464
HAHN,822,38354
HARDING,823,38340
ACEVEDO,824,38232
RAYMOND,825,38158
BLACKBURN,826,38137
DUFFY,827,37962
LANDRY,828,37961
DOUGHERTY,829,37903
BAUTISTA,830,37847
SHAH,831,37833
POTTS,832,37687
ARROYO,833,37678
VALENTINE,834,37669
MEZA,835,37662
GOULD,836,37660
VAUGHAN,837,37591
FRY,838,37542
RUSH,839,37470
AVERY,840,37440
HERRING,841,37353
DODSON,842,37298
CLEMENTS,843,37237
SAMPSON,844,37234
TAPIA,845,37201
BEAN,846,37145
LYNN,847,37125
CRANE,848,37123
FARLEY,849,37116
CISNEROS,850,37050
BENTON,851,37032
ASHLEY,852,37021
MCKAY,853,36948
FINLEY,854,36874
BEST,855,36862
BLEVINS,856,36841
FRIEDMAN,857,36833
MOSES,858,36814
SOSA,859,36813
BLANCHARD,860,36764
HUBER,861,36729
FRYE,862,36716
KRUEGER,863,36694
BERNARD,864,36546
ROSARIO,865,36539
RUBIO,866,36531
MULLEN,867,36442
BENJAMIN,868,36439
HALEY,869,36433
CHUNG,870,36422
MOYER,871,36421
CHOI,872,36390
HORNE,873,36288
YU,874,36285
WOODWARD,875,36242
ALI,876,36079
NIXON,877,36037
HAYDEN,878,36024
RIVERS,879,35980
ESTES,880,35839
MCCARTY,881,35718
RICHMOND,882,35715
STUART,883,35701
MAYNARD,884,35648
BRANDT,885,35616
OCONNELL,886,35610
HANNA,887,35599
SANFORD,888,35565
SHEPPARD,889,35554
CHURCH,890,35539
BURCH,891,35521
LEVY,892,35464
RASMUSSEN,893,35453
COFFEY,894,35442
PONCE,895,35400
FAULKNER,896,35389
DONALDSON,897,35387
SCHMITT,898,35326
NOVAK,899,35282
COSTA,900,35227
MONTES,901,35196
BOOKER,902,35101
CORDOVA,903,35074
WALLER,904,35001
ARELLANO,905,34999
MADDOX,906,34970
MATA,907,34888
BONILLA,908,34824
STANTON,909,34812
COMPTON,910,34788
KAUFMAN,911,34786
DUDLEY,912,34770
MCPHERSON,913,34763
BELTRAN,914,34736
DICKSON,915,34698
MCCANN,916,34692
VILLEGAS,917,34684
PROCTOR,918,34682
HESTER,919,34675
CANTRELL,920,34674
DAUGHERTY,921,34650
CHERRY,922,34615
BRAY,923,34575
DAVILA,924,34541
ROWLAND,925,34498
LEVINE,926,34472
MADDEN,926,34472
SPENCE,928,34435
GOOD,929,34430
IRWIN,930,34374
WERNER,931,34352
KRAUSE,932,34345
PETTY,933,34278
WHITNEY,934,34251
BAIRD,935,34233
HOOPER,936,34084
POLLARD,937,34079
ZAVALA,938,34068
JARVIS,939,34050
HOLDEN,940,34041
HAAS,941,34032
HENDRIX,941,34032
MCGRATH,943,34031
BIRD,944,33962
LUCERO,945,33922
TERRELL,946,33914
RIGGS,947,33868
JOYCE,948,33843
MERCER,949,33797
ROLLINS,949,33797
GALLOWAY,951,33773
DUKE,952,33745
ODOM,953,33717
ANDERSEN,954,33508
DOWNS,955,33494
HATFIELD,956,33464
BENITEZ,957,33441
ARCHER,958,33411
HUERTA,959,33348
TRAVIS,960,33339
MCNEIL,961,33239
HINTON,962,33209
ZHANG,963,33202
HAYS,964,33194
MAYO,965,33126
FRITZ,966,33068
BRANCH,967,33040
MOONEY,968,32953
EWING,969,32925
RITTER,970,32864
ESPARZA,971,32772
FREY,972,32735
BRAUN,973,32676
GAY,974,32672
RIDDLE,975,32654
HANEY,976,32644
KAISER,977,32567
HOLDER,978,32466
CHANEY,979,32433
MCKNIGHT,980,32386
GAMBLE,981,32377
VANG,982,32333
COOLEY,983,32287
CARNEY,984,32282
COWAN,985,32242
FORBES,986,32228
FERRELL,987,32174
DAVIES,988,32165
BARAJAS,989,32147
SHEA,990,32069
OSBORN,991,32044
BRIGHT,992,32042
CUEVAS,993,32015
BOLTON,994,31995
MURILLO,995,31964
LUTZ,996,31940
DUARTE,997,31896
KIDD,998,31886
KEY,999,31882
COOKE,1000,31860
GOFF,1001,31806
DEJESUS,1002,31803
MARIN,1003,31786
DOTSON,1004,31784
BONNER,1005,31761
COTTON,1006,31759
MERRILL,1007,31758
LINDSAY,1008,31744
LANCASTER,1009,31686
MCGOWAN,1010,31669
FELIX,1011,31631
SALGADO,1012,31627
SLATER,1013,31569
CARVER,1014,31566
GUTHRIE,1015,31530
HOLMAN,1016,31514
FULTON,1017,31513
SNIDER,1018,31418
SEARS,1019,31387
WITT,1020,31360
NEWELL,1021,31317
BYERS,1022,31299
LEHMAN,1023,31296
GORMAN,1024,31285
COSTELLO,1025,31266
DONAHUE,1026,31251
DELANEY,1027,31236
ALBERT,1028,31159
WORKMAN,1029,31151
ROSAS,1030,31050
SPRINGER,1031,31044
KINNEY,1032,30956
JUSTICE,1032,30956
ODELL,1034,30951
LAKE,1035,30924
DONNELLY,1036,30919
LAW,1037,30900
DAILEY,1038,30894
GUEVARA,1039,30844
SHOEMAKER,1040,30756
BARLOW,1041,30749
MARINO,1042,30735
WINTER,1043,30721
CRAFT,1044,30653
KATZ,1045,30615
PICKETT,1046,30552
ESPINOSA,1047,30538
MALONEY,1048,30434
DALY,1048,30434
GOLDSTEIN,1050,30429
CROWLEY,1051,30416
VOGEL,1052,30388
KUHN,1053,30342
PEARCE,1054,30276
HARTLEY,1055,30236
CLEVELAND,1056,30233
PALACIOS,1057,30231
MCFADDEN,1058,30205
BRITT,1059,30200
WOOTEN,1060,30185
CORTES,1061,30141
DILLARD,1062,30118
CHILDERS,1063,30079
ALFORD,1064,30050
DODD,1065,30029
EMERSON,1066,30028
WILDER,1067,30023
LANGE,1068,29977
GOLDBERG,1069,29968
QUINTERO,1070,29952
BEACH,1071,29940
ENRIQUEZ,1072,29886
QUINTANA,1073,29755
HELMS,1074,29727
MACKEY,1075,29718
FINCH,1076,29703
CRAMER,1077,29666
MINOR,1078,29634
FLANAGAN,1079,29563
FRANKS,1080,29531
CORONA,1081,29525
KENDALL,1082,29524
MCCABE,1083,29523
HENDRICKSON,1084,29496
MOSER,1085,29485
MCDERMOTT,1086,29440
CAMP,1087,29432
MCLEOD,1088,29423
BERNAL,1089,29418
KAPLAN,1090,29410
MEDRANO,1091,29386
LUGO,1092,29328
TRACY,1093,29316
BACON,1094,29312
CROWE,1095,29260
RICHTER,1096,29233
WELSH,1097,29217
HOLLEY,1098,29215
RATLIFF,1099,29142
MAYFIELD,1100,29136
TALLEY,1101,29082
HAINES,1102,29065
DALE,1103,28994
GIBBONS,1104,28993
HICKEY,1105,28970
BYRNE,1106,28963
KIRKLAND,1107,28937
FARRIS,1108,28928
CORREA,1109,28910
TILLMAN,1110,28878
SWEET,1111,28872
KESSLER,1112,28869
ENGLAND,1113,28861
HEWITT,1114,28857
BLANCO,1115,28843
CONNOLLY,1116,28821
PATE,1117,28804
ELDER,1118,28783
BRUNO,1119,28729
HOLCOMB,1120,28668
HYDE,1121,28604
MCALLISTER,1122,28586
CASH,1123,28572
CHRISTOPHER,1124,28493
WHITFIELD,1125,28475
MEEKS,1126,28426
HATCHER,1127,28424
FINK,1128,28417
SUTHERLAND,1128,28417
NOEL,1130,28401
RITCHIE,1131,28397
ROSA,1132,28375
LEAL,1133,28248
JOYNER,1134,28216
STARR,1135,28210
MORIN,1136,28184
DELAROSA,1137,28134
CONNOR,1138,28107
HILTON,1139,28098
ALSTON,1140,28089
GILLIAM,1141,28075
WYNN,1142,28048
WILLS,1143,28036
JARAMILLO,1144,28024
ONEIL,1145,28020
NIEVES,1146,28011
BRITTON,1147,28001
RANKIN,1148,27989
BELCHER,1149,27947
GUY,1150,27934
CHAMBERLAIN,1151,27928
TYSON,1152,27911
PUCKETT,1153,27891
DOWNING,1154,27879
SHARPE,1155,27862
BOGGS,1156,27822
TRUONG,1157,27808
PIERSON,1158,27730
GODFREY,1159,27700
MOBLEY,1160,27648
JOHN,1161,27643
KERN,1162,27634
DYE,1163,27627
HOLLIS,1164,27597
BRAVO,1165,27576
MAGANA,1166,27571
RUTHERFORD,1167,27539
NG,1168,27537
TUTTLE,1169,27460
LIM,1170,27433
ROMANO,1171,27401
TREJO,1172,27383
ARTHUR,1172,27383
KNOWLES,1174,27380
LYON,1175,27337
SHIRLEY,1176,27300
QUINONES,1177,27290
CHILDS,1178,27266
DOLAN,1179,27252
HEAD,1180,27218
REYNA,1181,27215
SAENZ,1182,27211
HASTINGS,1183,27201
KENNEY,1184,27189
CANO,1185,27179
FOREMAN,1186,27130
DENTON,1187,27112
VILLALOBOS,1188,27107
PRYOR,1189,27065
SARGENT,1190,27024
DOHERTY,1191,26978
HOPPER,1192,26956
PHAN,1193,26903
WOMACK,1194,26890
LOCKHART,1195,26844
VENTURA,1196,26769
DWYER,1197,26759
MULLER,1198,26744
GALINDO,1199,26730
GRACE,1200,26727
SORENSEN,1201,26705
COURTNEY,1202,26668
PARRA,1203,26654
RODRIGUES,1204,26652
NICHOLAS,1205,26628
AHMED,1206,26607
MCGINNIS,1207,26578
LANGLEY,1208,26560
MADISON,1209,26548
LOCKE,1210,26516
JAMISON,1211,26476
NAVA,1212,26463
GUSTAFSON,1213,26433
SYKES,1214,26425
DEMPSEY,1215,26403
HAMM,1216,26392
RODRIQUEZ,1217,26377
MCGILL,1218,26354
XIONG,1219,26336
ESQUIVEL,1220,26301
SIMMS,1221,26296
KENDRICK,1222,26266
BOYCE,1223,26229
VIGIL,1224,26224
DOWNEY,1225,26206
MCKENNA,1226,26189
SIERRA,1227,26181
WEBBER,1228,26178
KIRKPATRICK,1229,26155
DICKINSON,1230,26144
COUCH,1231,26135
BURKS,1232,26115
SHEEHAN,1233,26107
SLAUGHTER,1234,26088
PIKE,1235,26086
WHITLEY,1236,26078
MAGEE,1237,26031
CHENG,1238,26023
SINCLAIR,1239,26014
CASSIDY,1240,26011
RUTLEDGE,1241,26010
BURRIS,1242,25998
BOWLING,1243,25938
